# FromNodeId	ToNodeId
0	11342
0	824020
0	867923
0	891835
11342	0
11342	27469
11342	38716
11342	309564
11342	322178
11342	387543
11342	427436
11342	538214
11342	638706
11342	645018
11342	835220
11342	856657
11342	867923
11342	891835
824020	0
824020	91807
824020	322178
824020	387543
824020	417728
824020	438493
824020	500627
824020	535748
824020	695578
824020	867923
824020	891835
867923	0
867923	11342
867923	136593
867923	414038
867923	500627
867923	523684
867923	760842
867923	815602
867923	835220
867923	846213
867923	857527
867923	891835
891835	0
891835	11342
891835	112028
891835	235849
891835	302284
891835	417728
891835	451592
891835	693969
891835	857527
891835	867923
1	53051
1	203402
1	223236
1	276233
1	552600
1	569212
1	635575
1	748615
1	862566
1	893884
203402	1
203402	53051
203402	164684
203402	184896
203402	184984
203402	223236
203402	240041
203402	276233
203402	284930
203402	303045
203402	384341
203402	408707
203402	436135
203402	449352
203402	532018
203402	539143
203402	552600
203402	569212
203402	573555
203402	604413
203402	635575
203402	648208
203402	748615
203402	773119
203402	789543
203402	792151
203402	824625
203402	838771
203402	862566
203402	893884
223236	8517
223236	14456
223236	51573
223236	150176
223236	187770
223236	189348
223236	202191
223236	225530
223236	334309
223236	421091
223236	425667
223236	484795
223236	521022
223236	522701
223236	578091
223236	610457
223236	614906
223236	674265
223236	777734
223236	799858
223236	822292
223236	867774
223236	907505
223236	912757
276233	1
276233	53051
276233	164684
276233	203402
276233	208814
276233	223236
276233	240041
276233	303045
276233	363925
276233	384341
276233	408707
276233	436135
276233	552600
276233	569212
276233	619841
276233	635575
276233	748615
276233	773119
276233	774614
276233	792266
276233	838771
276233	862566
276233	893884
552600	1
552600	53051
552600	203402
552600	223236
552600	240041
552600	276233
552600	363925
552600	436135
552600	569212
552600	619841
552600	635575
552600	748615
552600	774614
552600	824625
552600	838771
552600	862566
552600	893884
569212	1
569212	53051
569212	164684
569212	184896
569212	184984
569212	203402
569212	208814
569212	223236
569212	240041
569212	276233
569212	284930
569212	363925
569212	436135
569212	449352
569212	539143
569212	552600
569212	573555
569212	604413
569212	635575
569212	648208
569212	748615
569212	774614
569212	789543
569212	862566
569212	893884
635575	33023
635575	53051
635575	69209
635575	203402
635575	223236
635575	276233
635575	426314
635575	435399
635575	448933
635575	460573
635575	505620
635575	552600
635575	569212
635575	599243
635575	713628
635575	734138
635575	748615
635575	860525
635575	862566
635575	893884
635575	894228
748615	1
748615	53051
748615	164684
748615	184896
748615	184984
748615	203402
748615	208814
748615	223236
748615	240041
748615	276233
748615	284930
748615	303045
748615	363925
748615	384341
748615	408707
748615	436135
748615	449352
748615	532018
748615	539143
748615	552600
748615	569212
748615	573555
748615	604413
748615	619841
748615	635575
748615	648208
748615	773119
748615	774614
748615	789543
748615	792151
748615	792266
748615	824625
748615	838771
748615	862566
748615	893884
862566	1
862566	53051
862566	164684
862566	184896
862566	184984
862566	203402
862566	208814
862566	223236
862566	240041
862566	276233
862566	284930
862566	303045
862566	436135
862566	449352
862566	539143
862566	552600
862566	569212
862566	573555
862566	604413
862566	619841
862566	635575
862566	648208
862566	748615
862566	774614
862566	792151
862566	792266
862566	893884
893884	53051
893884	184896
893884	184984
893884	203402
893884	208814
893884	223236
893884	240041
893884	276233
893884	284930
893884	449352
893884	539143
893884	552600
893884	569212
893884	604413
893884	619841
893884	635575
893884	648208
893884	748615
893884	789543
893884	862566
2	30957
2	357310
2	423174
2	430119
2	462435
2	472889
2	565424
2	581609
2	597621
2	644135
2	858904
30957	2
30957	357310
30957	423174
30957	430119
30957	462435
30957	472889
30957	488515
30957	494042
30957	528391
30957	531596
30957	565424
30957	581609
30957	597621
30957	644135
30957	779195
30957	858904
30957	912247
357310	2
357310	30957
357310	423174
357310	430119
357310	462435
357310	472889
357310	565424
357310	581609
357310	597621
357310	644135
357310	858904
423174	2
423174	30957
423174	357310
423174	430119
423174	462435
423174	472889
423174	565424
423174	581609
423174	597621
423174	644135
423174	858904
430119	2
430119	30957
430119	357310
430119	423174
430119	462435
430119	472889
430119	488515
430119	494042
430119	528391
430119	531596
430119	565424
430119	581609
430119	597621
430119	644135
430119	779195
430119	858904
430119	912247
462435	2
462435	30957
462435	357310
462435	385050
462435	423174
462435	430119
462435	433724
462435	472889
462435	565424
462435	581609
462435	597621
462435	644135
462435	858904
472889	2
472889	30957
472889	357310
472889	423174
472889	430119
472889	462435
472889	565424
472889	581609
